bxd,b,d,A
2x3,1.50,2.50,3.75
2x4,1.50,3.50,5.25
2x5,1.50,4.50,6.75
2x6,1.50,5.50,8.25
2x8,1.50,7.25,10.88
2x10,1.50,9.25,13.88
2x12,1.50,11.25,16.88
2x14,1.50,13.25,19.88
3x4,2.50,3.50,8.75
3x5,2.50,4.50,11.25
3x6,2.50,5.50,13.75
3x8,2.50,7.25,18.13
3x10,2.50,9.25,23.13
3x12,2.50,11.25,28.13
3x14,2.50,13.25,33.13
3x16,2.50,15.25,38.13
4x4,3.50,3.50,12.25
4x5,3.50,4.50,15.75
4x6,3.50,5.50,19.25
4x8,3.50,7.25,25.38
4x10,3.50,9.25,32.38
4x12,3.50,11.25,39.38
4x14,3.50,13.25,46.38
4x16,3.50,15.25,53.38
