bxd,b,d,A
5x5,4.50,4.50,20.25
6x6,5.50,5.50,30.25
6x8,5.50,7.50,41.25
6x10,5.50,9.50,52.25
6x12,5.50,11.50,63.25
6x14,5.50,13.50,74.25
6x16,5.50,15.50,85.25
6x18,5.50,17.50,96.25
6x20,5.50,19.50,107.3
6x22,5.50,21.50,118.3
6x24,5.50,23.50,129.3
8x8,7.50,7.50,56.25
8x10,7.50,9.50,71.25
8x12,7.50,11.50,86.25
8x14,7.50,13.50,101.3
8x16,7.50,15.50,116.3
8x18,7.50,17.50,131.3
8x20,7.50,19.50,146.3
8x22,7.50,21.50,161.3
8x24,7.50,23.50,176.3
10x10,9.50,9.50,90.25
10x12,9.50,11.50,109.3
10x14,9.50,13.50,128.3
10x16,9.50,15.50,147.3
10x18,9.50,17.50,166.3
10x20,9.50,19.50,185.3
10x22,9.50,21.50,204.3
10x24,9.50,23.50,223.3
12x12,11.50,11.50,132.3
12x14,11.50,13.50,155.3
12x16,11.50,15.50,178.3
12x18,11.50,17.50,201.3
12x20,11.50,19.50,224.3
12x22,11.50,21.50,247.3
12x24,11.50,23.50,270.3
14x14,13.50,13.50,182.3
14x16,13.50,15.50,209.3
14x18,13.50,17.50,236.3
14x20,13.50,19.50,263.3
14x22,13.50,21.50,290.3
14x24,13.50,23.50,317.3
16x16,15.50,15.50,240.3
16x18,15.50,17.50,271.3
16x20,15.50,19.50,302.3
16x22,15.50,21.50,333.3
16x24,15.50,23.50,364.3
18x18,17.50,17.50,306.3
18x20,17.50,19.50,341.3
18x22,17.50,21.50,376.3
18x24,17.50,23.50,411.3
20x20,19.5,19.5,380.3
20x22,19.5,21.5,419.3
20x24,19.5,23.5,458.3
22x22,21.5,21.5,462.3
22x24,21.5,23.5,505.3
24x24,23.5,23.5,552.3
